Tijd,Datum,Ijsbaan,Rijder
89.80,26/01/2020,IJsstadion Thialf (NED),Ronald
34.86,25/01/2020,IJsstadion Thialf (NED),Ronald
34.92,18/01/2020,IJsstadion Thialf (NED),Ronald
35.27,27/12/2019,IJsstadion Thialf (NED),Michel
35.38,27/12/2019,IJsstadion Thialf (NED),Ronald
34.96,21/12/2019,IJsstadion Thialf (NED),Michel
34.91,21/12/2019,IJsstadion Thialf (NED),Ronald
35.28,14/12/2019,IJsstadion Thialf (NED),Michel
35.28,23/11/2019,IJsstadion Thialf (NED),Michel
35.14,01/11/2019,IJsstadion Thialf (NED),Michel
35.00,01/11/2019,IJsstadion Thialf (NED),Ronald
35.16,26/10/2019,IJsstadion Thialf (NED),Michel
34.94,26/10/2019,IJsstadion Thialf (NED),Ronald
34.99,16/02/2019,IJsstadion Thialf (NED),Michel
34.78,16/02/2019,IJsstadion Thialf (NED),Ronald
34.62,27/01/2019,IJsstadion Thialf (NED),Michel
34.92,26/01/2019,IJsstadion Thialf (NED),Michel
35.01,19/01/2019,IJsstadion Thialf (NED),Michel
34.87,19/01/2019,IJsstadion Thialf (NED),Ronald
35.04,28/12/2018,IJsstadion Thialf (NED),Michel
34.60,28/12/2018,IJsstadion Thialf (NED),Ronald
35.19,22/12/2018,IJsstadion Thialf (NED),Michel
34.95,22/12/2018,IJsstadion Thialf (NED),Ronald
34.95,15/12/2018,IJsstadion Thialf (NED),Michel
35.14,15/12/2018,IJsstadion Thialf (NED),Ronald
35.22,02/11/2018,IJsstadion Thialf (NED),Michel
35.22,02/11/2018,IJsstadion Thialf (NED),Ronald
35.26,27/10/2018,IJsstadion Thialf (NED),Michel
35.72,10/03/2018,IJsstadion Thialf (NED),Michel
34.67,10/03/2018,IJsstadion Thialf (NED),Ronald
35.02,03/02/2018,IJsstadion Thialf (NED),Ronald
34.74,28/01/2018,IJsstadion Thialf (NED),Michel
35.08,27/01/2018,IJsstadion Thialf (NED),Michel
34.98,27/12/2017,IJsstadion Thialf (NED),Michel
34.49,27/12/2017,IJsstadion Thialf (NED),Ronald
34.90,22/12/2017,IJsstadion Thialf (NED),Michel
34.74,22/12/2017,IJsstadion Thialf (NED),Ronald
34.85,11/11/2017,IJsstadion Thialf (NED),Ronald
34.99,10/11/2017,IJsstadion Thialf (NED),Ronald
35.58,28/10/2017,IJsstadion Thialf (NED),Michel
34.69,28/10/2017,IJsstadion Thialf (NED),Ronald
35.23,21/10/2017,IJsstadion Thialf (NED),Michel
35.06,21/10/2017,IJsstadion Thialf (NED),Ronald
35.51,22/01/2017,IJsstadion Thialf (NED),Michel
35.00,22/01/2017,IJsstadion Thialf (NED),Ronald
35.43,21/01/2017,IJsstadion Thialf (NED),Michel
34.98,21/01/2017,IJsstadion Thialf (NED),Ronald
35.49,14/01/2017,IJsstadion Thialf (NED),Michel
35.08,07/01/2017,IJsstadion Thialf (NED),Ronald
34.87,06/01/2017,IJsstadion Thialf (NED),Ronald
35.23,28/12/2016,IJsstadion Thialf (NED),Michel
34.83,28/12/2016,IJsstadion Thialf (NED),Ronald
35.02,21/12/2016,IJsstadion Thialf (NED),Michel
34.81,21/12/2016,IJsstadion Thialf (NED),Ronald
35.49,17/12/2016,IJsstadion Thialf (NED),Michel
35.59,19/11/2016,IJsstadion Thialf (NED),Michel
35.43,13/11/2016,IJsstadion Thialf (NED),Michel
34.81,13/03/2016,IJsstadion Thialf (NED),Ronald
35.05,11/03/2016,IJsstadion Thialf (NED),Ronald
35.18,05/03/2016,IJsstadion Thialf (NED),Michel
34.80,05/03/2016,IJsstadion Thialf (NED),Ronald
35.07,06/02/2016,IJsstadion Thialf (NED),Michel
34.89,06/02/2016,IJsstadion Thialf (NED),Ronald
35.14,23/01/2016,IJsstadion Thialf (NED),Michel
35.25,23/01/2016,IJsstadion Thialf (NED),Ronald
35.63,22/01/2016,IJsstadion Thialf (NED),Michel
34.92,22/01/2016,IJsstadion Thialf (NED),Ronald
35.34,27/12/2015,IJsstadion Thialf (NED),Michel
35.62,27/12/2015,IJsstadion Thialf (NED),Michel
34.95,27/12/2015,IJsstadion Thialf (NED),Ronald
35.11,27/12/2015,IJsstadion Thialf (NED),Ronald
35.54,21/12/2015,IJsstadion Thialf (NED),Michel
35.30,21/12/2015,IJsstadion Thialf (NED),Ronald
35.47,13/12/2015,IJsstadion Thialf (NED),Michel
35.48,11/12/2015,IJsstadion Thialf (NED),Michel
35.25,05/12/2015,IJsstadion Thialf (NED),Michel